""2020-07-19 13:33:25 [Thread-30] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown completed.
""2020-07-19 13:33:28 [restartedMain] INFO  c.j.j.a.SpringSecurityJwtExampleApplication - Starting SpringSecurityJwtExampleApplication on DESKTOP-CBI7EMC with PID 2208 (started by sudhir kumar in C:\Users\sudhir kumar\Desktop\LTI\spring-security-jwt-example-master)
""2020-07-19 13:33:28 [restartedMain] DEBUG c.j.j.a.SpringSecurityJwtExampleApplication - Running with Spring Boot v2.2.2.RELEASE, Spring v5.2.2.RELEASE
""2020-07-19 13:33:28 [restartedMain] INFO  c.j.j.a.SpringSecurityJwtExampleApplication - No active profile set, falling back to default profiles: default
""2020-07-19 13:33:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2020-07-19 13:33:30 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 142ms. Found 1 JPA repository interfaces.
""2020-07-19 13:33:30 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2020-07-19 13:33:30 [restartedMain] WARN  o.a.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
""2020-07-19 13:33:31 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9192 (http)
""2020-07-19 13:33:31 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2020-07-19 13:33:31 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
""2020-07-19 13:33:31 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2020-07-19 13:33:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Starting...
""2020-07-19 13:33:31 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-7 - Start completed.
""2020-07-19 13:33:31 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testdb'
""2020-07-19 13:33:31 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
""2020-07-19 13:33:31 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
""2020-07-19 13:33:31 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2020-07-19 13:33:31 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2020-07-19 13:33:31 [restartedMain] DEBUG c.j.jwt.api.filter.JwtFilter - Filter 'jwtFilter' configured for use
""2020-07-19 13:33:31 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
""2020-07-19 13:33:32 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2020-07-19 13:33:32 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1d323a4b, org.springframework.security.web.context.SecurityContextPersistenceFilter@25de23a, org.springframework.security.web.header.HeaderWriterFilter@3dd792bf, org.springframework.security.web.authentication.logout.LogoutFilter@7f425fea, com.javatechie.jwt.api.filter.JwtFilter@3349cc67, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@743e1e90, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@757d38c2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@548414f7, org.springframework.security.web.session.SessionManagementFilter@2758143f, org.springframework.security.web.access.ExceptionTranslationFilter@1b5da908, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@49ae6548]
""2020-07-19 13:33:32 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2020-07-19 13:33:32 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9192 (http) with context path ''
""2020-07-19 13:33:32 [restartedMain] INFO  c.j.j.a.SpringSecurityJwtExampleApplication - Started SpringSecurityJwtExampleApplication in 4.193 seconds (JVM running for 1671.132)
